i00_are0,i01_indx,i02_name,i03_rate,i04_year,i05_drct,i06_type,i07_long,i08_area,i09_cmnt,i10_sbid,i11_dlnk,i12_ilnk,i13_loop,i14_dtop,i15_seen
美国,16046,狗·星·人：第四部分,7.2,1964,斯坦·布拉哈格,"剧情,短片",6,美国,76,1462664,https://movie.douban.com/subject/1462664/,http://www.imdb.com/title/tt0058026,23400,,
美国,16047,天蝎星升起,7.2,1964,肯尼思·安格,短片,28,美国,606,1775245,https://movie.douban.com/subject/1775245/,http://www.imdb.com/title/tt0058555,22686,,
香港,16048,乔太守乱点鸳鸯谱,7.2,1964,罗臻,"喜剧,歌舞",95,香港,121,2356920,https://movie.douban.com/subject/2356920/,http://www.imdb.com/title/tt0888052,23764,,
法国,16049,失眠,7.2,1964,Pierre ?taix,"喜剧,短片",14,法国,143,4306329,https://movie.douban.com/subject/4306329/,http://www.imdb.com/title/tt3356844,14635,,
美国,16050,邪屋,7.2,1963,罗伯特·怀斯,恐怖,112,美国 / 英国,392,1296588,https://movie.douban.com/subject/1296588/,http://www.imdb.com/title/tt0057129,4251,,
法国,16051,黑色安息日,7.2,1963,马里奥·巴瓦,恐怖,92,法国 / 意大利 / 美国,316,1300568,https://movie.douban.com/subject/1300568/,http://www.imdb.com/title/tt0057603,6239,,
美国,16052,粉红豹系列：偷香窃玉,7.2,1963,布莱克·爱德华兹,"喜剧,犯罪",115,美国,552,1417899,https://movie.douban.com/subject/1417899/,http://www.imdb.com/title/tt0057413,20736,,
USA,16053,飞蛾之光,7.2,1963,斯坦·布拉哈格,短片,4,USA,234,1463715,https://movie.douban.com/subject/1463715/,http://www.imdb.com/title/tt0057324,15000,,
香港,16054,凤还巢,7.2,1963,高立,"剧情,歌舞",90,香港,162,2355109,https://movie.douban.com/subject/2355109/,http://www.imdb.com/title/tt0057452,5278,,
美国,16055,渡假留香,7.2,1962,亨利·科斯特,"喜剧,家庭",116,美国,48,1294579,https://movie.douban.com/subject/1294579/,http://www.imdb.com/title/tt0056255,5699,,
美国,16056,欢乐音乐妙无穷,7.2,1962,Jeff Bleckner,"喜剧,爱情,歌舞,家庭",151,美国,83,1296180,https://movie.douban.com/subject/1296180/,http://www.imdb.com/title/tt0056262,4741,,
美国,16057,狗·星·人：序曲,7.2,1962,斯坦·布拉哈格,"剧情,短片",25,美国,151,1303973,https://movie.douban.com/subject/1303973/,http://www.imdb.com/title/tt0234512,22291,,
中国大陆,16058,魔术师的奇遇,7.2,1962,桑弧,喜剧,,中国大陆,536,1483433,https://movie.douban.com/subject/1483433/,http://www.imdb.com/title/tt6660934,7352,,
苏联,16059,骠骑兵之歌,7.2,1962,埃利达尔·梁赞诺夫,"喜剧,歌舞",96,苏联,74,3259302,https://movie.douban.com/subject/3259302/,http://www.imdb.com/title/tt0056045,12070,,
中国大陆,16060,红色娘子军,7.2,1961,谢晋,战争,110,中国大陆,5426,1424630,https://movie.douban.com/subject/1424630/,http://www.imdb.com/title/tt0472622,2396,,
中国大陆,16061,革命家庭,7.2,1961,水华,剧情,97,中国大陆,257,1437313,https://movie.douban.com/subject/1437313/,http://www.imdb.com/title/tt0055371,13122,,
法国,16062,吉妮,7.2,1961,莫里斯·皮亚拉,,17,法国,54,1534679,https://movie.douban.com/subject/1534679/,http://www.imdb.com/title/tt0209056,10231,,
英国,16063,魔童村,7.2,1960,Wolf Rilla,"科幻,悬疑,恐怖",77,英国,546,1294900,https://movie.douban.com/subject/1294900/,http://www.imdb.com/title/tt0054443,25034,,
日本,16064,太平洋风暴,7.2,1960,松林宗惠,"剧情,历史,战争",118,日本,70,1295554,https://movie.douban.com/subject/1295554/,http://www.imdb.com/title/tt0055502,2453,,
英国,16065,浪子春潮,7.2,1960,卡雷尔·赖兹,"剧情,爱情",89,英国,544,1306028,https://movie.douban.com/subject/1306028/,http://www.imdb.com/title/tt0054269,5893,,
法国,16066,夏洛特和她的情人,7.2,1960,让-吕克·戈达尔,"剧情,短片",13,法国,344,1419342,https://movie.douban.com/subject/1419342/,http://www.imdb.com/title/tt0051472,14234,,
法国,16067,马布斯博士的一千只眼,7.2,1960,弗里茨·朗,"悬疑,惊悚,犯罪",103,法国 / 意大利 / 西德,209,1466135,https://movie.douban.com/subject/1466135/,http://www.imdb.com/title/tt0054371,13203,,
香港,16068,江山美人,7.2,1959,李翰祥,"剧情,歌舞,家庭",95,香港,1200,1304289,https://movie.douban.com/subject/1304289/,http://www.imdb.com/title/tt0194984,10885,,
美国,16069,翻绳作戏,7.2,1959,斯坦·布拉哈格,短片,6,美国,78,1462666,https://movie.douban.com/subject/1462666/,http://www.imdb.com/title/tt0277617,22084,,
日本,16070,东海道四谷怪谈,7.2,1959,中川信夫,恐怖,76,日本,406,1764190,https://movie.douban.com/subject/1764190/,http://www.imdb.com/title/tt0155278,7918,,
苏联,16071,今天不离去,7.2,1959,亚历山大·戈尔东,"剧情,惊悚,短片",46,苏联,279,1779543,https://movie.douban.com/subject/1779543/,http://www.imdb.com/title/tt0053258,11231,,
巴西,16072,天井,7.2,1959,格劳贝尔·罗恰,短片,,巴西,48,3218764,https://movie.douban.com/subject/3218764/,http://www.imdb.com/title/tt0140449,19117,,
美国,16073,六福客栈,7.2,1958,马克·罗布森,"剧情,传记,战争",158,美国,373,1294943,https://movie.douban.com/subject/1294943/,http://www.imdb.com/title/tt0051776,21541,,
美国,16074,夏日春情,7.2,1958,Martin Ritt,剧情,115,美国,314,1295119,https://movie.douban.com/subject/1295119/,http://www.imdb.com/title/tt0051878,13511,,
英国,16075,财星高照,7.2,1958,罗纳德·尼姆,喜剧,97,英国,207,1295918,https://movie.douban.com/subject/1295918/,http://www.imdb.com/title/tt0051739,2344,,
法国,16076,花月断肠时,7.2,1958,Pierre Gaspard-Huit,"剧情,爱情",100,法国 / 意大利,270,1300328,https://movie.douban.com/subject/1300328/,http://www.imdb.com/title/tt0051477,22167,,
美国,16077,夺情记,7.2,1958,理查德·奎因,"喜剧,爱情,奇幻",106,美国,177,1788625,https://movie.douban.com/subject/1788625/,http://www.imdb.com/title/tt0051406,6351,,
加拿大,16078,乌鸫,7.2,1958,Norman McLaren,"动画,短片",,加拿大,148,1865453,https://movie.douban.com/subject/1865453/,http://www.imdb.com/title/tt0051923,14191,,
美国,16079,欢乐梅姑,7.2,1958,莫顿·达考斯塔,"剧情,喜剧",143,美国,81,1926816,https://movie.douban.com/subject/1926816/,http://www.imdb.com/title/tt0051383,5401,,
英国,16080,恶魔之夜,7.2,1957,雅克·特纳,恐怖,95,英国,129,1305431,https://movie.douban.com/subject/1305431/,http://www.imdb.com/title/tt0050766,10220,,
Czechoslovakia,16081,卡拉麦卡,7.2,1957,Hermína T?rlová,"动画,短片",,Czechoslovakia,42,1459096,https://movie.douban.com/subject/1459096/,http://www.imdb.com/title/tt0427420,10471,,
印度,16082,印度母亲,7.2,1957,Mehboob Khan,"剧情,歌舞,家庭",172,印度,74,2291770,https://movie.douban.com/subject/2291770/,http://www.imdb.com/title/tt0050188,13502,,
美国,16083,四海一家,7.2,1956,威廉·惠勒,"剧情,战争,西部",137,美国,162,1292747,https://movie.douban.com/subject/1292747/,http://www.imdb.com/title/tt0049233,9609,,
美国,16084,死前一吻,7.2,1956,Gerd Oswald,"爱情,悬疑,惊悚,犯罪,黑色电影",94,美国,82,1295680,https://movie.douban.com/subject/1295680/,http://www.imdb.com/title/tt0049414,18941,,
美国,16085,白鲸记,7.2,1956,约翰·休斯顿,"剧情,冒险",116,美国,514,1296285,https://movie.douban.com/subject/1296285/,http://www.imdb.com/title/tt0049513,14210,,
日本,16086,疯狂的果实,7.2,1956,中平康,剧情,86,日本,908,1424640,https://movie.douban.com/subject/1424640/,http://www.imdb.com/title/tt0160440,14940,,
Czechoslovakia,16087,皮球和风筝,7.2,1956,Jan Dudesek,"动画,短片",,Czechoslovakia,36,1459086,https://movie.douban.com/subject/1459086/,http://www.imdb.com/title/tt0427583,8600,,
美国,16088,怪尸案,7.2,1955,阿尔弗雷德·希区柯克,"喜剧,悬疑",99,美国,2499,1301232,https://movie.douban.com/subject/1301232/,http://www.imdb.com/title/tt0048750,4169,,
美国,16089,我们不是天使,7.2,1955,迈克尔·柯蒂斯,"喜剧,爱情,犯罪",106,美国,52,1302404,https://movie.douban.com/subject/1302404/,http://www.imdb.com/title/tt0048801,15210,,
日本,16090,新平家物语,7.2,1955,沟口健二,剧情,108,日本,298,1303565,https://movie.douban.com/subject/1303565/,http://www.imdb.com/title/tt0048610,6733,,
美国,16091,复仇,7.2,1955,阿尔弗雷德·希区柯克,"剧情,悬疑,惊悚,犯罪",,美国,75,25755672,https://movie.douban.com/subject/25755672/,http://www.imdb.com/title/tt0508235,17245,,
美国,16092,我最后一次看见巴黎,7.2,1954,Richard Brooks,"剧情,爱情",116,美国,404,1292740,https://movie.douban.com/subject/1292740/,http://www.imdb.com/title/tt0047162,8773,,
美国,16093,X,7.2,1954,戈登 道格拉斯 (Gordon Douglas),"科幻,恐怖",94,美国,132,1302566,https://movie.douban.com/subject/1302566/,http://www.imdb.com/title/tt0047573,11524,,
中国大陆,16094,鸡毛信,7.2,1954,石挥,战争,76,中国大陆,7007,1461981,https://movie.douban.com/subject/1461981/,http://www.imdb.com/title/tt0470128,3069,,
苏联,16095,驯虎女郎,7.2,1954,亚历山大·伊凡诺夫斯基,"动作,爱情",101,苏联,71,2241692,https://movie.douban.com/subject/2241692/,http://www.imdb.com/title/tt0047628,12262,,
美国,16096,孽海奇逢,7.2,1953,约瑟夫·纽曼,"悬疑,惊悚,黑色电影",76,美国,97,2567608,https://movie.douban.com/subject/2567608/,http://www.imdb.com/title/tt0045669,16209,,
