i00_are0,i01_indx,i02_name,i03_rate,i04_year,i05_drct,i06_type,i07_long,i08_area,i09_cmnt,i10_sbid,i11_dlnk,i12_ilnk,i13_loop,i14_dtop
美国,44,美丽心灵,8.9,2001,朗·霍华德,"剧情,传记",135,美国,295581,1306029,https://movie.douban.com/subject/1306029/,http://www.imdb.com/title/tt0268978,193,46,
美国,45,指环王2：双塔奇兵,8.9,2002,彼得·杰克逊,"剧情,动作,奇幻,冒险",179,美国 / 新西兰,262579,1291572,https://movie.douban.com/subject/1291572/,http://www.imdb.com/title/tt0167261,101,47,
新西兰,46,指环王1：魔戒再现,8.9,2001,彼得·杰克逊,"剧情,动作,奇幻,冒险",178,新西兰 / 美国,293067,1291571,https://movie.douban.com/subject/1291571/,http://www.imdb.com/title/tt0120737,246,48,
美国,47,死亡诗社,8.9,1989,彼得·威尔,剧情,128,美国,266588,1291548,https://movie.douban.com/subject/1291548/,http://www.imdb.com/title/tt0097165,1,49,
日本,48,情书,8.8,1995,岩井俊二,"剧情,爱情",117,日本,360969,1292220,https://movie.douban.com/subject/1292220/,http://www.imdb.com/title/tt0113703,72,50,
法国,49,天使爱美丽,8.7,2001,让-皮埃尔·热内,"喜剧,爱情",122,法国 / 德国,467888,1292215,https://movie.douban.com/subject/1292215/,http://www.imdb.com/title/tt0211915,206,51,
意大利,50,美国往事,9.1,1984,赛尔乔·莱翁内,"剧情,犯罪",229,意大利 / 美国,168291,1292262,https://movie.douban.com/subject/1292262/,http://www.imdb.com/title/tt0087843,125,52,
美国,51,七宗罪,8.7,1995,大卫·芬奇,"剧情,悬疑,惊悚,犯罪",127,美国,422037,1292223,https://movie.douban.com/subject/1292223/,http://www.imdb.com/title/tt0114369,13,53,
美国,52,控方证人,9.6,1957,比利·怀德,"剧情,悬疑,犯罪",116,美国,78105,1296141,https://movie.douban.com/subject/1296141/,http://www.imdb.com/title/tt0051201,143,54,
法国,53,钢琴家,9,2002,罗曼·波兰斯基,"剧情,传记,历史,战争",150,法国 / 德国 / 英国 / 波兰,196183,1296736,https://movie.douban.com/subject/1296736/,http://www.imdb.com/title/tt0253474,247,55,
美国,54,狮子王,8.9,1994,罗杰·阿勒斯,"剧情,动画,歌舞,家庭,冒险",89,美国,271375,1301753,https://movie.douban.com/subject/1301753/,http://www.imdb.com/title/tt0110357,126,56,
韩国,55,辩护人,9.1,2013,杨宇硕,剧情,127,韩国,188882,21937445,https://movie.douban.com/subject/21937445/,http://www.imdb.com/title/tt3404140,164,57,
日本,56,被嫌弃的松子的一生,8.9,2006,中岛哲也,"剧情,歌舞",130,日本,267350,1787291,https://movie.douban.com/subject/1787291/,http://www.imdb.com/title/tt0768120,78,58,
台湾,57,饮食男女,9,1994,李安,"剧情,家庭",124,台湾 / 美国,184483,1291818,https://movie.douban.com/subject/1291818/,http://www.imdb.com/title/tt0111797,222,59,
美国,58,致命魔术,8.8,2006,克里斯托弗·诺兰,"剧情,悬疑,惊悚",130,美国 / 英国,327097,1780330,https://movie.douban.com/subject/1780330/,http://www.imdb.com/title/tt0482571,51,60,
美国,59,勇敢的心,8.8,1995,梅尔·吉布森,"剧情,动作,传记,历史,战争",177,美国,287585,1294639,https://movie.douban.com/subject/1294639/,http://www.imdb.com/title/tt0112573,11,61,
美国,60,剪刀手爱德华,8.7,1990,蒂姆·波顿,"剧情,爱情,奇幻",105,美国,467542,1292370,https://movie.douban.com/subject/1292370/,http://www.imdb.com/title/tt0099487,189,62,
伊朗,61,小鞋子,9.2,1997,马基德·马基迪,"剧情,家庭,儿童",89,伊朗,130494,1303021,https://movie.douban.com/subject/1303021/,http://www.imdb.com/title/tt0118849,211,63,
