i00_are0,i01_indx,i02_name,i03_rate,i04_year,i05_drct,i06_type,i07_long,i08_area,i09_cmnt,i10_sbid,i11_dlnk,i12_ilnk,i13_loop,i14_dtop
台湾,7485,少年吔，安啦﹗,7.9,1992,徐小明,"剧情,动作,犯罪",,台湾,374,1298846,https://movie.douban.com/subject/1298846/,http://www.imdb.com/title/tt0105382,3230,,
日本,7486,蝶服记,7.9,1974,寺山修司,短片,12,日本,373,1481749,https://movie.douban.com/subject/1481749/,http://www.imdb.com/title/tt2167456,11920,,
日本,7487,世界奇妙物语,7.9,1996,落合正幸,"剧情,悬疑,惊悚",,日本,370,2281665,https://movie.douban.com/subject/2281665/,,23260,,
法国,7488,天色破晓,7.9,1939,马塞尔·卡尔内,"剧情,爱情,犯罪",93,法国,369,1470775,https://movie.douban.com/subject/1470775/,http://www.imdb.com/title/tt0031514,4550,,
Bosnia,7489,十分钟,7.9,2002,Ahmed Imamovic,短片,10,Bosnia and Herzegovina,368,2138985,https://movie.douban.com/subject/2138985/,http://www.imdb.com/title/tt0339976,24441,,
西德,7490,我不是坏女孩,7.9,1990,迈克尔·维赫文,"剧情,喜剧,历史,战争",94,西德,365,1303047,https://movie.douban.com/subject/1303047/,http://www.imdb.com/title/tt0100557,14429,,
法国,7491,指挥家的抉择,7.9,2001,伊斯特凡·萨博,"剧情,音乐,战争",108,法国 / 英国 / 德国 / 奥地利,365,1308297,https://movie.douban.com/subject/1308297/,http://www.imdb.com/title/tt0260414,17600,,
挪威,7492,狂迷利物浦,7.9,2010,Arild Andresen,喜剧,90,挪威,364,3927915,https://movie.douban.com/subject/3927915/,http://www.imdb.com/title/tt1488574,10037,,
美国,7493,心灵烙码,7.9,2006,盖伊·马丁,"剧情,奇幻",95,美国 / 加拿大,363,1998458,https://movie.douban.com/subject/1998458/,http://www.imdb.com/title/tt0443455,11659,,
法国,7494,沉默的世界,7.9,1956,雅克·伊夫斯·科斯托,纪录片,86,法国 / 意大利,361,1302671,https://movie.douban.com/subject/1302671/,http://www.imdb.com/title/tt0049518,6691,,
苏联,7495,未完成的机械钢琴曲,7.9,1977,尼基塔·米哈尔科夫,剧情,103,苏联,359,1294661,https://movie.douban.com/subject/1294661/,http://www.imdb.com/title/tt0076446,15978,,
日本,7496,口香糖男孩,7.9,2010,奥田昌辉,"动画,短片",,日本,358,11604043,https://movie.douban.com/subject/11604043/,http://www.imdb.com/title/tt3065164,22910,,
美国,7497,空军一号,7.9,2002,Peter Schnall,"纪录片,历史",57,美国,357,4172537,https://movie.douban.com/subject/4172537/,http://www.imdb.com/title/tt0289844,12845,,
中国大陆,7498,回声——小兔淘淘的故事,7.9,1982,林文肖,"动画,短片",11,中国大陆,355,3017897,https://movie.douban.com/subject/3017897/,,14098,,
美国,7499,小狐狸,7.9,1941,威廉·惠勒,"剧情,爱情",115,美国,351,1297676,https://movie.douban.com/subject/1297676/,http://www.imdb.com/title/tt0033836,8610,,
日本,7500,欢乐时光,7.9,2015,滨口龙介,剧情,317,日本,350,26550176,https://movie.douban.com/subject/26550176/,http://www.imdb.com/title/tt4780662,17747,,
日本,7501,逆喷射家族,7.9,1984,石井聪互,"剧情,喜剧",106,日本,347,1416846,https://movie.douban.com/subject/1416846/,http://www.imdb.com/title/tt0087377,8430,,
日本,7502,苏联就这样崩溃了,7.9,2006,NHK,"纪录片,历史",50,日本,346,4717353,https://movie.douban.com/subject/4717353/,,16208,,
美国,7503,凤舞红尘,7.9,1996,潘 丹萨姆 (Pen Densham),"剧情,爱情",123,美国,341,1293354,https://movie.douban.com/subject/1293354/,http://www.imdb.com/title/tt0117071,6027,,
以色列,7504,折翼,7.9,2002,尼尔·伯格曼,"剧情,家庭",87,以色列,341,1401887,https://movie.douban.com/subject/1401887/,http://www.imdb.com/title/tt0317842,13162,,
英国,7505,乔安娜·拉姆利的北极光之旅,7.9,2008,Archie Baron,纪录片,60,英国,338,4246417,https://movie.douban.com/subject/4246417/,http://www.imdb.com/title/tt1590081,16289,,
丹麦,7506,五道障碍,7.9,2003,乔根·莱斯,纪录片,90,丹麦 / 瑞士 / 比利时 / 法国,337,1417054,https://movie.douban.com/subject/1417054/,http://www.imdb.com/title/tt0354575,5448,,
美国,7507,我不是你的黑鬼,7.9,2016,哈乌·佩克,纪录片,95,美国,336,26861970,https://movie.douban.com/subject/26861970/,http://www.imdb.com/title/tt5804038,4772,,
苏联,7508,母牛,7.9,1989,亚历山大·彼德洛夫,"剧情,动画,短片",,苏联,331,1887447,https://movie.douban.com/subject/1887447/,http://www.imdb.com/title/tt0097118,4799,,
美国,7509,奇兵勇士,7.9,1975,迈克尔·安德森,冒险,112,美国,329,1296323,https://movie.douban.com/subject/1296323/,http://www.imdb.com/title/tt0072886,1721,,
苏联,7510,乡村女教师,7.9,1947,马克·顿斯阔依,剧情,100,苏联,327,1945403,https://movie.douban.com/subject/1945403/,http://www.imdb.com/title/tt0039810,7532,,
美国,7511,都市女郎,7.9,1930,F·W·茂瑙,"剧情,爱情",77,美国,323,1302684,https://movie.douban.com/subject/1302684/,http://www.imdb.com/title/tt0020768,5756,,
德国,7512,骏马奥斯温,7.9,2013,卡嘉·冯·加纳,家庭,106,德国,323,20438868,https://movie.douban.com/subject/20438868/,http://www.imdb.com/title/tt2356464,9553,,
日本,7513,代号D机关,7.9,2016,野村和也,动画,,日本,320,26822095,https://movie.douban.com/subject/26822095/,,20840,,
美国,7514,基督营,7.9,2006,Heidi Ewing,"剧情,纪录片",84,美国,319,1946223,https://movie.douban.com/subject/1946223/,http://www.imdb.com/title/tt0486358,6125,,
Czechoslovakia,7515,谁杀了杰茜？,7.9,1966,Václav Vorlícek,"喜剧,科幻",80,Czechoslovakia,318,2137737,https://movie.douban.com/subject/2137737/,http://www.imdb.com/title/tt0125301,10770,,
美国,7516,永无止境,7.9,1998,罗伯特·汤,"剧情,传记,运动",117,美国,317,1293459,https://movie.douban.com/subject/1293459/,http://www.imdb.com/title/tt0119934,14047,,
美国,7517,罗伯茨先生,7.9,1955,约翰·福特,"剧情,喜剧,战争",123,美国,316,1293725,https://movie.douban.com/subject/1293725/,http://www.imdb.com/title/tt0048380,7703,,
法国,7518,诺和我,7.9,2010,扎布·布雷特曼,剧情,105,法国,314,5156420,https://movie.douban.com/subject/5156420/,http://www.imdb.com/title/tt1600428,21785,,
荷兰,7519,时间凝固,7.9,2010,Adam,短片,2,荷兰,314,5905774,https://movie.douban.com/subject/5905774/,,4856,,
中国大陆,7520,老婆婆的枣树,7.9,1958,王世荣,"动画,短片",11,中国大陆,313,2253589,https://movie.douban.com/subject/2253589/,,10038,,
日本,7521,刑务所之中,7.9,2002,崔洋一,"剧情,喜剧",94,日本,312,1758164,https://movie.douban.com/subject/1758164/,http://www.imdb.com/title/tt0340195,5037,,
英国,7522,罗马之春,7.9,1961,何塞·昆特罗,"剧情,爱情",103,英国 / 美国,311,1301066,https://movie.douban.com/subject/1301066/,http://www.imdb.com/title/tt0055382,12372,,
日本,7523,不管我怎么去想我不受欢迎这件事都是你们的错！OAD,7.9,2014,大沼心,,28,日本,310,25853650,https://movie.douban.com/subject/25853650/,,10592,,
日本,7524,谣言的女人,7.9,1954,沟口健二,"剧情,爱情",83,日本,310,1308192,https://movie.douban.com/subject/1308192/,http://www.imdb.com/title/tt0047638,3514,,
中国大陆,7525,吾土,7.9,2015,范俭,纪录片,83,中国大陆,305,25884547,https://movie.douban.com/subject/25884547/,http://www.imdb.com/title/tt5358658,6589,,
瑞士,7526,JEU,7.9,2006,乔治·史威兹贝尔,"动画,短片",,瑞士 / 加拿大,303,2045754,https://movie.douban.com/subject/2045754/,http://www.imdb.com/title/tt0896544,8587,,
瑞典,7527,生命的门槛,7.9,1958,英格玛·伯格曼,剧情,84,瑞典,303,2269933,https://movie.douban.com/subject/2269933/,http://www.imdb.com/title/tt0052017,2704,,
英国,7528,玛丽的灾难,7.9,1903,George Albert Smith,"喜剧,短片",,英国,302,2046066,https://movie.douban.com/subject/2046066/,http://www.imdb.com/title/tt0000451,13384,,
苏联,7529,翼,7.9,1966,拉莉萨·舍皮琴科,剧情,85,苏联,301,1471651,https://movie.douban.com/subject/1471651/,http://www.imdb.com/title/tt0061196,12683,,
台湾,7530,老莫的第二个春天,7.9,1984,李佑宁,"剧情,喜剧",113,台湾,300,1401754,https://movie.douban.com/subject/1401754/,http://www.imdb.com/title/tt0183390,4265,,
英国,7531,尼亚加拉瀑布,7.9,2011,Leopold Dewolf,"动画,同性",,英国,299,21354069,https://movie.douban.com/subject/21354069/,http://www.imdb.com/title/tt2255901,24677,,
日本,7532,秋津温泉,7.9,1962,吉田喜重,剧情,113,日本,298,2160608,https://movie.douban.com/subject/2160608/,http://www.imdb.com/title/tt0055732,8089,,
日本,7533,愿妻如蔷薇,7.9,1935,成濑巳喜男,剧情,74,日本,297,1418918,https://movie.douban.com/subject/1418918/,http://www.imdb.com/title/tt0027138,1284,,
美国,7534,进入空气稀薄地带,7.9,1997,罗伯特·马克威治,"剧情,传记,冒险",90,美国 / 捷克,292,1302049,https://movie.douban.com/subject/1302049/,http://www.imdb.com/title/tt0118949,5652,,
日本,7535,绝对隐私的性爱恋歌1974,7.9,1974,原一男,纪录片,110,日本,292,1428452,https://movie.douban.com/subject/1428452/,http://www.imdb.com/title/tt0233809,8663,,
捷克斯洛伐克,7536,一切善良的市民们,7.9,1969,沃依采克·雅斯尼,"剧情,喜剧",114,捷克斯洛伐克,292,1294375,https://movie.douban.com/subject/1294375/,http://www.imdb.com/title/tt0063791,21701,,
波兰,7537,一无所有,7.9,1998,多罗塔·肯杰尔扎沃斯卡,剧情,80,波兰,292,3835116,https://movie.douban.com/subject/3835116/,http://www.imdb.com/title/tt0177946,9110,,
英国,7538,Dandaka,7.9,2005,Nina Paley,"动画,短片",4,英国,291,1859801,https://movie.douban.com/subject/1859801/,http://www.imdb.com/title/tt0845985,12814,,
瑞典,7539,傀儡生涯,7.9,1980,英格玛·伯格曼,剧情,104,瑞典 / 西德,291,1295323,https://movie.douban.com/subject/1295323/,http://www.imdb.com/title/tt0080397,6796,,
美国,7540,灵与肉,7.9,1926,克拉伦斯·布朗,"剧情,爱情",112,美国,290,1867800,https://movie.douban.com/subject/1867800/,http://www.imdb.com/title/tt0016884,11167,,
西德,7541,绳舞,7.9,1986,莱蒙德·库姆,"动画,短片",,西德,288,1995466,https://movie.douban.com/subject/1995466/,http://www.imdb.com/title/tt0282950,17435,,
英国,7542,寻找约翰·吉辛,7.9,2001,Mike Binder,喜剧,91,英国 / 美国,287,2222490,https://movie.douban.com/subject/2222490/,http://www.imdb.com/title/tt0250716,7732,,
印度,7543,来跳舞吧,7.9,2007,Anil Mehta,"剧情,歌舞",,印度,286,2350205,https://movie.douban.com/subject/2350205/,http://www.imdb.com/title/tt0986213,23527,,
日本,7544,骷髅13,7.9,1983,Osamu Dezaki,"动画,惊悚,犯罪",91,日本,285,3010584,https://movie.douban.com/subject/3010584/,http://www.imdb.com/title/tt0086148,24154,,
中国大陆,7545,山中故事,7.9,2016,李琪伟,"动画,短片",,中国大陆,285,26828034,https://movie.douban.com/subject/26828034/,,4478,,
加拿大,7546,世界上最悲伤的音乐,7.9,2003,盖伊·马丁,"剧情,喜剧,爱情,音乐,歌舞,奇幻",100,加拿大,281,1308081,https://movie.douban.com/subject/1308081/,http://www.imdb.com/title/tt0366996,2576,,
俄罗斯,7547,孤独之岛,7.9,2006,帕维·龙根,剧情,112,俄罗斯,279,1979147,https://movie.douban.com/subject/1979147/,http://www.imdb.com/title/tt0851577,15226,,
德国,7548,梦想的课程,7.9,2011,塞巴斯蒂安·格罗布勒,"剧情,运动",113,德国,279,5258001,https://movie.douban.com/subject/5258001/,http://www.imdb.com/title/tt1686768,11063,,
日本,7549,野兽之死,7.9,1980,村川透,"剧情,动作,犯罪",119,日本,279,1959218,https://movie.douban.com/subject/1959218/,http://www.imdb.com/title/tt0314913,17285,,
美国,7550,幽灵与未亡人,7.9,1947,约瑟夫·L·曼凯维奇,"剧情,爱情,悬疑,惊悚,奇幻",104,美国,279,1300756,https://movie.douban.com/subject/1300756/,http://www.imdb.com/title/tt0039420,20127,,
苏联,7551,狗心,7.9,1988,弗拉基米尔·博尔特科,"剧情,科幻",131,苏联,276,1421743,https://movie.douban.com/subject/1421743/,http://www.imdb.com/title/tt0096126,4449,,
香港,7552,香江花月夜,7.9,1995,泰迪·罗宾,,108,香港,275,2383150,https://movie.douban.com/subject/2383150/,http://www.imdb.com/title/tt0126942,17025,,
中国大陆,7553,阿混新传,7.9,1984,王为一,喜剧,,中国大陆,273,3032429,https://movie.douban.com/subject/3032429/,,6719,,
奥地利,7554,外部空间,7.9,1999,彼特·契尔卡斯基,短片,10,奥地利,273,1780843,https://movie.douban.com/subject/1780843/,http://www.imdb.com/title/tt0219964,13368,,
美国,7555,风,7.9,1928,维克多·斯约斯特洛姆,"剧情,西部",95,美国,272,1307994,https://movie.douban.com/subject/1307994/,http://www.imdb.com/title/tt0019585,10108,,
中国大陆,7556,初潮,7.9,2009,郭静,纪录片,95,中国大陆,271,4230878,https://movie.douban.com/subject/4230878/,,17288,,
USA,7557,借来的情感,7.9,1997,Ted Kotcheff,"剧情,爱情,奇幻",91,USA / Canada,271,1521941,https://movie.douban.com/subject/1521941/,http://www.imdb.com/title/tt0132893,14325,,
美国,7558,蜂巢,7.9,2014,David Salzberg,"动作,纪录片,历史",93,美国 / 阿富汗 Afghanistan,268,25832818,https://movie.douban.com/subject/25832818/,http://www.imdb.com/title/tt2611026,9183,,
苏联,7559,七月,7.9,1988,达赫让·奥米尔巴耶夫,短片,,苏联,268,3822005,https://movie.douban.com/subject/3822005/,http://www.imdb.com/title/tt0168909,15418,,
日本,7560,筑地仙境,7.9,2016,遠藤尚太郎,纪录片,111,日本,267,26743591,https://movie.douban.com/subject/26743591/,http://www.imdb.com/title/tt3772612,12935,,
中国大陆,7561,美食家,7.9,1985,徐昌霖,,,中国大陆,266,1498668,https://movie.douban.com/subject/1498668/,,21839,,
美国,7562,风流寡妇,7.9,1952,Curtis Bernhardt,歌舞,105,美国,265,2383044,https://movie.douban.com/subject/2383044/,http://www.imdb.com/title/tt0044900,8421,,
伊朗,7563,合唱团,7.9,1982,阿巴斯·基亚罗斯塔米,"剧情,短片",17,伊朗,264,1940633,https://movie.douban.com/subject/1940633/,http://www.imdb.com/title/tt0084046,19628,,
日本,7564,百年幻影,7.9,2006,木村草一,"动画,短片",33,日本,262,4888572,https://movie.douban.com/subject/4888572/,http://www.imdb.com/title/tt0878116,23304,,
美国,7565,曾几何时,7.9,2010,David Weissman,"纪录片,同性",90,美国,262,6117388,https://movie.douban.com/subject/6117388/,http://www.imdb.com/title/tt1787837,9276,,
美国,7566,凌晨一点,7.9,1916,查理·卓别林,"喜剧,短片,家庭",34,美国,261,2127856,https://movie.douban.com/subject/2127856/,http://www.imdb.com/title/tt0007145,1230,,
美国,7567,胜利之歌,7.9,1942,迈克尔·柯蒂斯,"剧情,爱情,歌舞,传记",126,美国,261,1295014,https://movie.douban.com/subject/1295014/,http://www.imdb.com/title/tt0035575,5550,,
英国,7568,彼得·塞勒斯的生与死,7.9,2004,斯蒂芬·霍普金斯,"剧情,传记",122,英国 / 美国,260,1441889,https://movie.douban.com/subject/1441889/,http://www.imdb.com/title/tt0352520,11322,,
法国,7569,高个的男人快乐吗？,7.9,2013,米歇尔·贡德里,"动画,纪录片",88,法国,260,6034451,https://movie.douban.com/subject/6034451/,http://www.imdb.com/title/tt1817287,12123,,
美国,7570,吾家有女艾芙琳,7.9,2002,布鲁斯·贝尔斯福德,剧情,94,美国 / 德国 / 爱尔兰 / 英国 / 荷兰,259,1301110,https://movie.douban.com/subject/1301110/,http://www.imdb.com/title/tt0298856,7105,,
美国,7571,西行,7.9,1925,巴斯特·基顿,"喜剧,西部",69,美国,259,1293598,https://movie.douban.com/subject/1293598/,http://www.imdb.com/title/tt0015863,1728,,
英国,7572,离奇车祸,7.9,1903,Robert W. Paul,"喜剧,短片",,英国,253,2046045,https://movie.douban.com/subject/2046045/,http://www.imdb.com/title/tt0000436,4615,,
美国,7573,微小的声音：柬埔寨儿童的故事,7.9,2008,Heather E. Connell,纪录片,82,美国,253,3228094,https://movie.douban.com/subject/3228094/,http://www.imdb.com/title/tt1241250,8211,,
中国大陆,7574,我的爱情日记,7.9,2001,吴天戈,"剧情,爱情",89,中国大陆,247,2135596,https://movie.douban.com/subject/2135596/,,21151,,
波兰,7575,烈焰焚树,7.9,1982,维托尔德·莱斯辛斯基,"剧情,奇幻",92,波兰,246,3243804,https://movie.douban.com/subject/3243804/,http://www.imdb.com/title/tt0085807,11125,,
中国大陆,7576,牧童与公主,7.9,1960,岳路,,30,中国大陆,243,2260188,https://movie.douban.com/subject/2260188/,,15243,,
美国,7577,天外有天,7.9,2014,程腾,"剧情,动画,短片,武侠",,美国,243,26282643,https://movie.douban.com/subject/26282643/,http://www.imdb.com/title/tt3772020,16112,,
美国,7578,路西华升天,7.9,1972,Kenneth Anger,"短片,奇幻",29,美国 / 英国 / 西德,242,1851701,https://movie.douban.com/subject/1851701/,http://www.imdb.com/title/tt0066019,19861,,
美国,7579,别有洞天,7.9,2001,Stephen Judson,"纪录片,短片",39,美国,241,2244360,https://movie.douban.com/subject/2244360/,http://www.imdb.com/title/tt0270444,3977,,
美国,7580,鬼使神差,7.9,1987,马修 罗宾斯 (Matthew Robbins (I)),"喜剧,科幻,家庭,奇幻",106,美国,241,1294997,https://movie.douban.com/subject/1294997/,http://www.imdb.com/title/tt0092494,14491,,
加拿大,7581,卡农,7.9,1964,诺曼·麦克拉伦,"动画,短片",,加拿大,241,2059348,https://movie.douban.com/subject/2059348/,http://www.imdb.com/title/tt0057912,21536,,
中国大陆,7582,活着一分钟，快乐六十秒,7.9,2006,张战庆,纪录片,85,中国大陆,240,3018483,https://movie.douban.com/subject/3018483/,,5662,,
美国,7583,偷渡者,7.9,1936,威廉 A. 塞特尔 (William A. Seiter),"歌舞,家庭,冒险",87,美国,240,1307650,https://movie.douban.com/subject/1307650/,http://www.imdb.com/title/tt0028315,10580,,
美国,7584,我们为何而战,7.9,2005,Eugene Jarecki,"纪录片,历史,战争",55,美国 / 法国 / 英国 / 加拿大 / 丹麦,240,1766800,https://movie.douban.com/subject/1766800/,http://www.imdb.com/title/tt0436971,6318,,
德国,7585,月里嫦娥,7.9,1929,弗里茨·朗,"剧情,喜剧,爱情,科幻",156,德国,240,2031688,https://movie.douban.com/subject/2031688/,http://www.imdb.com/title/tt0019901,1733,,
法国,7586,球的故事,7.9,1976,尤里斯·伊文思,"纪录片,短片",21,法国 / 中国,239,3297229,https://movie.douban.com/subject/3297229/,http://www.imdb.com/title/tt0177321,6657,,
英国,7587,战争安魂曲,7.9,1989,德里克·贾曼,"剧情,战争",92,英国,238,1296598,https://movie.douban.com/subject/1296598/,http://www.imdb.com/title/tt0096416,2980,,
美国,7588,钢铁时代,7.9,2014,Vlad Yudin,"纪录片,运动",,美国,237,23417606,https://movie.douban.com/subject/23417606/,http://www.imdb.com/title/tt2205904,12894,,
英国,7589,失踪的邦妮,7.9,1965,奥托·普雷明格,"悬疑,惊悚",107,英国,232,1959780,https://movie.douban.com/subject/1959780/,http://www.imdb.com/title/tt0058997,21077,,
日本,7590,沟口健二：一个电影导演的生涯,7.9,1975,新藤兼人 (Kaneto Shind?),"纪录片,传记",150,日本,231,1305228,https://movie.douban.com/subject/1305228/,http://www.imdb.com/title/tt0071163,8812,,
日本,7591,不毛地带,7.9,1976,山本萨夫,"剧情,犯罪",181,日本,229,1307818,https://movie.douban.com/subject/1307818/,http://www.imdb.com/title/tt0368734,11712,,
美国,7592,大钟,7.9,1948,约翰·法罗,"剧情,悬疑,惊悚,犯罪,黑色电影",95,美国,228,1865026,https://movie.douban.com/subject/1865026/,http://www.imdb.com/title/tt0040160,3957,,
日本,7593,剧场版,7.9,1997,尾岛正树,"喜剧,科幻,动画,奇幻",60,日本,226,3321017,https://movie.douban.com/subject/3321017/,http://www.imdb.com/title/tt0152979,17190,,
爱尔兰,7594,Tell,7.9,2006,William Sinclair,短片,,爱尔兰 / 英国,225,3098059,https://movie.douban.com/subject/3098059/,http://www.imdb.com/title/tt1094611,19786,,
英国,7595,美国名导短片集,7.9,2006,蒂姆·波顿,短片,209,英国,225,2074084,https://movie.douban.com/subject/2074084/,http://www.imdb.com/title/tt0913955,16293,,
法国,7596,莫盖诀别书,7.9,2007,Fran?ois,短片,,法国,225,6536300,https://movie.douban.com/subject/6536300/,,9748,,
美国,7597,月宫宝盒,7.9,1924,拉乌尔·沃尔什,"爱情,家庭,奇幻,冒险",155,美国,223,1300390,https://movie.douban.com/subject/1300390/,http://www.imdb.com/title/tt0015400,6598,,
意大利,7598,我的哥哥是独生子,7.9,2007,丹尼埃尔·卢凯蒂,"剧情,喜剧,音乐,犯罪",108,意大利 / 法国,222,2063529,https://movie.douban.com/subject/2063529/,http://www.imdb.com/title/tt0846040,17527,,
荷兰,7599,普罗斯佩罗的魔典,7.9,1991,彼得·格林纳威,"剧情,奇幻",124,荷兰 / 法国 / 英国 / 意大利 / 日本,218,1401371,https://movie.douban.com/subject/1401371/,http://www.imdb.com/title/tt0102722,12751,,
美国,7600,蛇之惊艳奇观,7.9,2008,探索频道,纪录片,,美国 / 英国,218,4160442,https://movie.douban.com/subject/4160442/,,5334,,
Jamaica,7601,肚肚,7.9,1998,海普 威廉斯 (Hype Williams),"剧情,犯罪",96,Jamaica / 美国,217,1293754,https://movie.douban.com/subject/1293754/,http://www.imdb.com/title/tt0158493,12709,,
意大利,7602,叫费德里科多么奇怪,7.9,2013,埃托尔·斯科拉,传记,90,意大利,217,24869595,https://movie.douban.com/subject/24869595/,http://www.imdb.com/title/tt2952634,10175,,
USA,7603,失踪的女人,7.9,1955,Don Medford,"剧情,悬疑,惊悚,犯罪",25,USA,216,3053338,https://movie.douban.com/subject/3053338/,http://www.imdb.com/title/tt0508183,24384,,
俄罗斯,7604,小公子方特洛伊,7.9,2003,Ivan Popov,家庭,105,俄罗斯,216,4703039,https://movie.douban.com/subject/4703039/,http://www.imdb.com/title/tt0372484,21187,,
中国大陆,7605,额吉,7.9,2010,宁才,,,中国大陆,214,3993565,https://movie.douban.com/subject/3993565/,http://www.imdb.com/title/tt2108511,11609,,
美国,7606,他的新工作,7.9,1915,查理·卓别林,"喜剧,短片",31,美国,214,2132678,https://movie.douban.com/subject/2132678/,http://www.imdb.com/title/tt0005489,3521,,
美国,7607,地下世界,7.9,1927,约瑟夫·冯·斯登堡,"剧情,犯罪",80,美国,213,1303347,https://movie.douban.com/subject/1303347/,http://www.imdb.com/title/tt0018526,12005,,
美国,7608,导演狂想曲,7.9,1999,Chris Smith,"喜剧,纪录片",107,美国,212,1293630,https://movie.douban.com/subject/1293630/,http://www.imdb.com/title/tt0181288,4986,,
美国,7609,大峡谷探险之河流告急,7.9,2008,Greg MacGillivray,"纪录片,冒险",44,美国,209,3560978,https://movie.douban.com/subject/3560978/,http://www.imdb.com/title/tt0858497,4436,,
日本,7610,河内山宗俊,7.9,1936,山中贞雄,剧情,82,日本,207,2158253,https://movie.douban.com/subject/2158253/,http://www.imdb.com/title/tt0272690,3275,,
美国,7611,崩溃的银行,7.9,2009,Michael Kirk,纪录片,56,美国,206,4097156,https://movie.douban.com/subject/4097156/,,1575,,
中国,7612,为人民服务,7.9,1998,李巨源,剧情,106,中国 / 台湾,206,1459585,https://movie.douban.com/subject/1459585/,http://www.imdb.com/title/tt5845338,17067,,
美国,7613,别活着回来,7.9,1955,Robert Stevenson,"剧情,悬疑,惊悚,犯罪",25,美国,205,3052662,https://movie.douban.com/subject/3052662/,http://www.imdb.com/title/tt0508154,21490,,
泰国,7614,天赐的礼物,7.9,2016,???? ???????,爱情,144,泰国,204,26918750,https://movie.douban.com/subject/26918750/,,11643,,
美国,7615,默片,7.9,1976,梅尔·布鲁克斯,喜剧,87,美国,203,1298452,https://movie.douban.com/subject/1298452/,http://www.imdb.com/title/tt0075222,2260,,
法国,7616,精神病院,7.9,2002,Andrei Konchalovsky,剧情,104,法国 / 俄罗斯,202,1307636,https://movie.douban.com/subject/1307636/,http://www.imdb.com/title/tt0332605,14736,,
美国,7617,冷暖人间,7.9,1957,马克·罗布森,"剧情,爱情",157,美国,201,1296391,https://movie.douban.com/subject/1296391/,http://www.imdb.com/title/tt0050839,11756,,
中国大陆,7618,医院里的中国,7.9,2014,陈一线,纪录片,,中国大陆,200,25895864,https://movie.douban.com/subject/25895864/,,6702,,
日本,7619,哆啦A梦族：怪盗哆啦邦谜样的挑战书,7.9,1997,米谷良知,动画,30,日本,192,10461355,https://movie.douban.com/subject/10461355/,,7908,,
美国,7620,花开蝶满枝,7.9,1948,Charles Walters,"爱情,歌舞",107,美国,190,1295085,https://movie.douban.com/subject/1295085/,http://www.imdb.com/title/tt0040308,2774,,
Bulgaria,7621,泥,7.9,1997,Ivailo Simidchiev,,22,Bulgaria | Canada,189,3276023,https://movie.douban.com/subject/3276023/,http://www.imdb.com/title/tt0158009,10922,,
波兰,7622,斗牛士和公牛,7.9,1964,维托尔德·吉尔兹,"动画,短片",,波兰,188,2155095,https://movie.douban.com/subject/2155095/,http://www.imdb.com/title/tt0431712,17196,,
日本,7623,日本解放战线·三里塚之夏,7.9,1968,小川绅介,纪录片,108,日本,188,2269042,https://movie.douban.com/subject/2269042/,http://www.imdb.com/title/tt0063351,11092,,
美国,7624,橡果,7.9,2014,玛德琳·莎拉芬,"动画,短片",4,美国,188,25919949,https://movie.douban.com/subject/25919949/,,23622,,
美国,7625,哈维姑娘,7.9,1946,乔治·西德尼,"喜剧,歌舞,西部",102,美国,185,1297459,https://movie.douban.com/subject/1297459/,http://www.imdb.com/title/tt0038589,4368,,
香港,7626,坏孩子,7.9,2010,游靜,"纪录片,儿童",,香港 / 日本 / 澳門,184,5294368,https://movie.douban.com/subject/5294368/,,16836,,
美国,7627,神偷大帝,7.9,1999,弗兰克 惠利 (Frank Whaley),"剧情,犯罪",93,美国,184,1294146,https://movie.douban.com/subject/1294146/,http://www.imdb.com/title/tt0160672,16686,,
伊朗,7628,电影万岁,7.9,1995,莫森·玛克玛尔巴夫,"剧情,喜剧,纪录片",,伊朗,182,1306976,https://movie.douban.com/subject/1306976/,http://www.imdb.com/title/tt0114329,6763,,
瑞典,7629,魔术师之梦,7.9,2008,帕特里克·伊库伦德,"剧情,喜剧,短片",22,瑞典,181,3432451,https://movie.douban.com/subject/3432451/,http://www.imdb.com/title/tt1351684,22475,,
日本,7630,路人女主的养成方法?：恋与纯情的福利回,7.9,2017,龟井干太,动画,24,日本,180,27013174,https://movie.douban.com/subject/27013174/,,20892,,
法国,7631,尼基与弗洛,7.9,2003,卢西恩·平蒂列,剧情,95,法国 / 罗马尼亚,180,1424617,https://movie.douban.com/subject/1424617/,http://www.imdb.com/title/tt0368078,6158,,
加拿大,7632,战栗东方,7.9,2001,Laurence Rees,"纪录片,历史,战争",50,加拿大 / 英国,178,1419339,https://movie.douban.com/subject/1419339/,http://www.imdb.com/title/tt0309685,6247,,
意大利,7633,众人之妻,7.9,1934,马克斯·奥菲尔斯,剧情,97,意大利,178,3249610,https://movie.douban.com/subject/3249610/,http://www.imdb.com/title/tt0025791,3188,,
中国大陆,7634,生活而已2,7.9,2012,魏晓波,纪录片,109,中国大陆,177,11226123,https://movie.douban.com/subject/11226123/,,4729,,
英国,7635,审判麦当劳,7.9,2005,Franny Armstrong,纪录片,85,英国,175,1499465,https://movie.douban.com/subject/1499465/,http://www.imdb.com/title/tt0458425,2065,,
