i00_are0,i01_indx,i02_name,i03_rate,i04_year,i05_drct,i06_type,i07_long,i08_area,i09_cmnt,i10_sbid,i11_dlnk,i12_ilnk,i13_loop,i14_dtop,
美国,18275,乱马1/2：中国昆仑大决战！破坏计划之激斗篇！！,7.6,1991,井内秀治 Shuji Iuchi,"喜剧,动画",74,美国 / 日本,319,1974437,https://movie.douban.com/subject/1974437/,http://www.imdb.com/title/tt0101583,18275,,
日本,19052,乱马1/2合集,8.7,1993,古桥一浩,"喜剧,爱情,动画,奇幻",,日本,553,1974733,https://movie.douban.com/subject/1974733/,http://www.imdb.com/title/tt0121060,19052,,
日本,17745,乱马OVA：邪恶之鬼,8.4,1995,井内秀治,"剧情,动画",29,日本,7768,1766789,https://movie.douban.com/subject/1766789/,http://www.imdb.com/title/tt0183694,17745,,
美国,77,乱世佳人,9.2,1939,维克多·弗莱明,"剧情,爱情,战争",238,美国,264726,1300267,https://movie.douban.com/subject/1300267/,http://www.imdb.com/title/tt0031381,77,19,
波兰,15362,乱世老少,8.2,2002,Tomasz Wiszniewski,剧情,95,波兰 / 英国 / 德国 / 美国,148,1794863,https://movie.douban.com/subject/1794863/,http://www.imdb.com/title/tt0275072,15362,,
美国,21447,乱世情缘,7.3,1995,迈克尔·霍夫曼,"剧情,爱情,传记,历史",117,美国 / 英国,377,1296445,https://movie.douban.com/subject/1296445/,http://www.imdb.com/title/tt0114272,21447,,
捷克斯洛伐克,7651,乱世英豪,8,1967,法兰提塞·维拉席,"剧情,爱情,历史",162,捷克斯洛伐克,689,1306847,https://movie.douban.com/subject/1306847/,http://www.imdb.com/title/tt0063278,7651,,
英国,4413,乱世有情天,7.4,2001,吉莉安·阿姆斯特朗,"剧情,爱情,惊悚,战争",121,英国 / 澳大利亚 / 德国,778,1307366,https://movie.douban.com/subject/1307366/,http://www.imdb.com/title/tt0245046,4413,,
法国,2747,乱世冤家,8.2,1971,让-保罗·拉佩纽,"喜剧,动作,爱情,冒险",98,法国 / 意大利 / 罗马尼亚,558,1427356,https://movie.douban.com/subject/1427356/,http://www.imdb.com/title/tt0067397,2747,,
美国,3390,乱世忠魂,7.6,1953,弗雷德·金尼曼,"剧情,爱情,战争",118,美国,1383,1298656,https://movie.douban.com/subject/1298656/,http://www.imdb.com/title/tt0045793,3390,,
